,company,overall_rating,community_rating,employee_rating,environment_rating,governance_rating,overall_percentage,community_percentage,employee_percentage,environment_percentage,governance_percentage
0,"Dick's Sporting Goods, Inc.
",48,50,48,44,52,35,48,48,30,62
1,"PNC Financial Services Group Inc.
",62,61,59,70,58,94,83,82,91,84
2,"DISH Network Corporation
",48,50,48,49,47,36,46,47,41,30
3,"The Western Union Company
",50,50,49,53,49,47,46,49,53,40
4,"Cummins, Inc.
",63,62,62,71,56,95,85,86,92,80
5,"Wal-Mart de Mexico S.A.
",64,64,59,75,57,97,89,80,97,81
6,"Whirlpool Corporation
",59,55,60,62,57,84,66,84,76,83
7,"Valero Energy Corporation
",50,44,54,46,55,43,32,69,33,77
8,"United Services Automobile Association
",NA,56,79,NA,55,NA,68,99,NA,75
9,"BURLINGTON STORES, INC.
",54,59,55,52,50,64,76,71,51,48
10,"Kellogg Company
",61,64,57,67,57,92,89,77,87,83
11,"Campbell Soup Company
",56,54,64,51,51,63,51,51,49,51
12,"Dollar Tree Stores, Inc.
",56,54,64,51,51,63,51,51,49,51
13,"Genuine Parts Company
",56,54,64,51,51,63,51,51,49,51
14,"Home Depot, Inc.
",56,54,64,51,51,63,51,51,49,51
15,"J. C. Penney Company, Inc.
",51,44,50,56,54,52,31,53,60,70
16,"Chevron Corp.
",52,48,56,49,54,54,40,73,43,73
17,"The Allstate Corporation
",61,58,59,68,57,90,73,82,88,81
18,"H. J. Heinz Company
",51,58,53,36,62,53,73,66,16,90
19,"Sears Holdings Corporation
",56,54,64,51,51,63,51,51,49,51
20,"Motorola, Inc.
",56,54,64,51,51,63,51,51,49,51
21,"The Boeing Company
",57,53,52,69,52,79,57,60,89,58
22,"Rite Aid Corporation
",49,47,49,50,49,38,38,52,46,38
23,"The Sherwin-Williams Company
",55,53,52,61,54,71,56,63,74,70
24,"Progressive Corporation
",56,56,57,57,54,74,67,75,65,73
25,"Exxon Mobil Corporation
",49,44,52,47,53,39,31,61,36,66
26,"Michaels Stores, Inc.
",50,55,47,50,48,44,66,43,44,37
27,"AT&T Inc.
",56,54,64,51,51,63,51,51,49,51
28,"Dean Foods Company
",53,50,52,56,55,63,46,61,62,77
29,"Southwest Airlines Co.
",55,54,56,56,52,68,62,74,62,58
30,"Texas Instruments Incorporated
",56,54,64,51,51,63,51,51,49,51
31,"The Hershey Company
",56,54,64,51,51,63,51,51,49,51
32,"Dollar General Corporation
",56,54,64,51,51,63,51,51,49,51
33,"Danaher Corp.
",55,56,56,55,52,68,67,73,59,62
34,"ConAgra Foods, Inc.
",56,54,64,51,51,63,51,51,49,51
35,"McDonald's Corporation
",56,54,64,51,51,63,51,51,49,51
36,"ADP
",65,69,65,73,53,98,95,90,95,68
37,"Northrop Grumman Corporation
",64,60,60,73,60,96,81,82,95,88
38,"Adobe Systems
",56,54,64,51,51,63,51,51,49,51
39,"Capital One Financial Corporation
",59,52,57,73,53,87,55,75,94,64
40,"Freddie Mac
",48,50,66,25,57,35,46,92,81,46
41,"HILTON WORLDWIDE HOLDINGS INC.
",61,66,62,63,54,91,91,86,77,70
42,"General Electric Company
",58,59,54,66,53,83,76,68,84,66
