,company,username,esg_company,verified
363,CGI Group,#cgigroup,CGI Group Inc.,123 posts
364,Chanel,chanelofficial,CHANEL SA,Verified
365,Chang Hwa Bank,#changhwabank,Chang Hwa Commercial Bank Ltd.,7 posts
366,Changchun High & New Technology,New Technology High,Changchun High & New Tech Industry Inc,"1400 Dickson St, Sacramento, CA"
367,Charles Schwab,charlesschwab,Charles Schwab Corp.,Verified
368,Charoen Pokphand Foods,#charoenpokphandfoods,Charoen Pokphand Group,48 posts
369,Charter Communications,charter_communications,"Charter Communications, Inc.",😈
370,Chase,severinbro7,Chase Corp.,Verified
371,Check Point Software,checkpointsoftware,Check Point Software Technologies Ltd.,Check Point Software
372,Cheniere Energy,cheniere_energy_inc,"Cheniere Energy, Inc.",Yoson Jun
373,Chesapeake Energy,chesapeake,Chesapeake Energy Corporation,Chesapeake Energy
374,Chevron,chevron,Chevron Corp.,Verified
375,Chiba Bank,chinabank.ph,Chiba Bank Limited,China Bank PH
376,China Aoyuan Group,有線中國組,China Aoyuan Group Limited,荃灣海盛路9號有線電視大樓
377,China Aviation Oil,#chinaaviationoil,CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,3 posts
378,China Cinda Asset Management,#chinacindaassetmanagement,"CHINA CINDA ASSET MANAGEMENT CO., LTD",1 post
379,China Citic Bank,#chinaciticbank,China CITIC Bank Corporation Limited,36 posts
380,China Coal Energy,#chinacoalenergy,China Coal Energy Company Limited,1 post
381,CCCC,c__c_c_c_,China Communications Construction Co. Ltd.,Красивые картинки♥️
382,China Communications Construction,#chinacommunicationsconstruction,China Communications Construction Co. Ltd.,7 posts
383,China Construction Bank,ccbipekanbaru,China Construction Bank Corporation,China Construction Bank ID
384,China Development Financial,#chinadevelopmentfinancial,China Development Financial Holding Corp.,1 post
385,China Eastern Airlines,china_eastern_airlines,China Eastern Airlines Corp. Ltd.,CEAir
386,China Energy Engineering,#chinaenergyengineeringcorpltd,China Energy Engineering Corp Ltd,1 post
387,China Everbright International,Not Verified,China Everbright International Ltd,Not Verified
388,China Evergrande Group,有線中國組,China Evergrande Group,荃灣海盛路9號有線電視大樓
389,China Feihe,#chinafeihe,China Feihe Ltd,3 posts
390,CFLD,cfldixon,China Fortune Land Development Co. Ltd.,David
391,China Galaxy Securities,#chinagalaxysecurities,"China Galaxy Securities Co., Ltd.",5 posts
392,China Gezhouba,#chinagezhouba,China Gezhouba Group Company Limited,13 posts
393,China Grand Automotive Services,#chinagrandautomotive,China Grand Automotive Services Co Ltd,12 posts
394,China Hongqiao Group,#chinahongqiaogroup,China Hongqiao Group Ltd.,1 post
395,China Huarong Asset Management,Prym,China Huarong Asset Management Co Ltd,Zweifaller Straße 130
396,China International Capital,Not Verified,China International Capital Corp,Not Verified
397,China International Marine,Not Verified,China International Marine Containers (Group) Co.Ltd.,Not Verified
398,China International Travel Service,Not Verified,China International Travel Service Corporation Limited,Not Verified
399,China Jinmao,jinmaopy,China Jinmao Holdings,JIN MAO | COMIDA CHINA
400,China Life Insurance,chinalifeindonesia,CHINA LIFE INSURANCE CO. LTD.,China Life Insurance Indonesia
401,China Life,china.lifestyle,"China Life Insurance Co., Ltd.",زندگی به سبک ایرانی در چین
402,Mengniu,meng___niu,China Mengniu Dairy Company Limited,猛牛團
403,China Mengniu Dairy,#chinamengniudairyco,China Mengniu Dairy Company Limited,1 post
404,China Merchants Bank,#chinamerchantsbank,China Merchants Bank,259 posts
405,China Merchants Port Holdings,Not Verified,China Merchants Holdings International Co. Ltd.,Not Verified
406,China Merchants Securities,#chinamerchantssecurities,"China Merchants Securities Co., Ltd.",2 posts
407,China Merchants Shekou Industrial Zone Holdings,#chinamerchantsshekou,China Merchants Shekou Ind Zn Hldg CoLtd,1 post
408,China Minsheng Bank,#chinaminshengbank,"China Minsheng Banking Corp., Ltd.",9 posts
409,China Mobile,chinamobilehk,China Mobile Limited,China Mobile Hong Kong
410,China Molybdenum,#chinamolybdenum,China Molybdenum Co. Ltd.,4 posts
411,CNBM,cnbm_tj,China National Building Material Company Limited,jus ah nigga in da cut! 🔫
412,China National Building,National Building Museum,China National Building Material Company Limited,"401 F St NW, Washington, District of Columbia"
413,China National Chemical,#chinanationalchemicalcorporation,"China National Chemical Engineering Co., Ltd.",3 posts
414,China National Nuclear Power,Daya Bay Nuclear Power Plant,China National Nuclear Power Co Ltd,"Shenzhen, Guangdong"
415,Inner Mongolia Baotou Steel,Not Verified,"China Northern Rare Earth (Group) High-Tech Co., Ltd. Class A",Not Verified
416,China Nuclear Engineering Corporation,China National Nuclear Corporation,China Nuclear Engineering Corporation Limited,"Pingguoyuan, Beijing, China"
417,China Pacific Insurance,#chinapacíficinsurancecompany,"China Pacific Insurance (Group) Co., Ltd.",645 posts
418,Sinopec,sinopec_group,CHINA PETROLEUM & CHEMICAL CORPORATION,sinopec group
419,China Railway Construction,China Railway Construction Corperation,China Railway Construction Corp. Limited,"No 20 Shi jingshan Road Shi Jingshan District , Beijing"
420,China Railway Group,crecofficial,China Railway Group Ltd.,China Railway Group Limited
421,China Reinsurance Group,有線中國組,China Reinsurance Group Corporation,荃灣海盛路9號有線電視大樓
422,China Resources Beer (Holdings),Not Found,China Resources Enterprise Ltd.,Not Found
423,China Resources Gas Group,Not Verified,China Resources Gas Group Ltd.,Not Verified
424,China Resources Land,#chinaresourcesland,China Resources Land Ltd.,16 posts
425,China Resources Pharmaceutical Group,Not Verified,China Resources Pharmaceutical Group Ltd,Not Verified
426,China Resources Power,#chinaresourcespower,China Resources Power Holdings Co. Ltd.,1 post
427,China SCE Group Holdings,"Sino Holdings Group Co.,Ltd",China SCE Property Holdings Limited,"No.369,Xinjiang Road,Xinqian Street, Huangyan,taizhou,zhejiang,Chiina, 浙江台州"
428,China Shenhua Energy,#chinashenhuaenergy,China Shenhua Energy Company Limited,18 posts
429,China Shipbuilding Industry,#chinashipbuildingindustry,China Shipbuilding Industry Co. Ltd.,6 posts
430,CRRC,crrc_global,China South Locomotive & Rolling Stock Corp. Ltd.,CRRC中国中车
431,China Southern Airlines,china_southern,China Southern Airlines Co. Ltd.,Verified
432,China State Construction Engineering,china_state_construction,China State Construction Engineering Corporation Limited,Verified
433,China Steel,mahadevdas10,China Steel Corp.,China Steel furniture
434,China Taiping Insurance,idcntaiping,CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED,PT China Taiping Insurance
435,China Telecom,ct_americas,China Telecom USA Corporation,China Telecom Americas
436,China Yangtze Power,#chinayangtzepower,China Three Gorges Corp.,2 posts
437,China Tower Corp.,RCBC,China Tower Corporation Limited,Makati
438,China Unicom,china_unicom_baku,China Unicom (Hong Kong) Ltd.,China Unicom
439,China Vanke,#chinavanke,China Vanke Co. Ltd.,24 posts
440,China Zheshang Bank,China Bank,China Zheshang Bank Co Ltd,"China Bank, 82 West Avenue, Quezon City, Philippines"
441,Chipotle Mexican Grill,#chipotlemexicangrill,"Chipotle Mexican Grill, Inc.","19,196 posts"
442,Chongqing Zhifei Biological Products,"Chế Phẩm Sinh Học - Đặc Trị Nấm, Sâu, Côn Trùng Gây Hại Cho Cây Trồng",Chongqing Zhifei Biological Products Co Ltd,154 nguyễn Trãi
443,Chow Tai Fook Jewellery,chowtaifookjewellery,Chow Tai Fook Jewellery Group,Verified
444,Dior,dior,Christian Dior,Verified
445,Chubb,nchubb27,Chubb Corporation,Verified
446,Chubu Electric Power,#chubuelectricpower,Chubu Electric Power Company Inc,49 posts
447,Chugoku Electric Power,#chugokuelectricpower,Chugoku Electric Power Company,1 post
448,Chunghwa Telecom,chung.hwa.telecom,Chunghwa Telecom,retined.
449,Church & Dwight,cdideasfactory,"Church & Dwight Co., Inc.",Church & Dwight Ideas Factory
450,CIFI Holdings Group,pacific.holdings.group,CIFI Holdings (Group) Co. Ltd.,Pacific Holdings Group
451,Cigna,cignature_j9,CIGNA Corporation,Verified
452,CIMB Group Holdings,Nomalee Group Holdings,CIMB Group Holdings Bhd,"12 Ruby Close, Sandton, Gauteng"
453,Cincinnati Financial,cincinnatifinancialhome,Cincinnati Financial Corporation,cincinnati financial
454,Cintas,cintasfoundation,Cintas Corporation,CINTAS Foundation
455,Cisco Systems,ciscosales,"Cisco Systems, Inc.",Cisco Systems
456,CIT Group,citgroup,CIT Group Inc.,CIT Group
457,CITIC,citicollective,CITIC Pacific Limited,Citi Collective®
458,Citic Securities,#citicsecurities,Citic Securities Company,11 posts
459,Citigroup,citi_group_building,Citigroup Inc.,CITI GROUP BUILDING
460,Citizens Financial Group,citizensfirstfinancialgroup,Citizens Financial Group Inc,Citizens First Financial Group
461,Citrix Systems,citrix_netscaler,"Citrix Systems, Inc.","Citrix Systems, Inc."
462,CJ Cheiljedang,cjcheiljedang,CJ CheilJedang Corp.,Verified
463,CJ Corporation,cj_corporation,CJ Corporation,CJ collection
464,CK Asset Holdings,ckassetholdings,CK ASSET HOLDINGS LIMITED,Investor
465,CK Hutchison,ckhutchison,CK Hutchison Holdings Limited,ckhutchison
466,Clal Insurance Enterprises,PHIL AUTO Enterprise’s,CLAL IN.ENTS.HDG.LTD.,"Thabo Mbeki Road opposite prudential insurance , Lusaka, Zambia"
467,Clif Bar,clifbar,Clif Bar,Verified
468,CLP Holdings,badapeclothing,CLP Holdings Limited,Bad Ape Holdings (Pty) Ltd
469,CME Group,cmegroup,CME Group Inc,CME Group
470,CMS Energy,cms_energy_team,CMS Energy Corporation,Cms Energy San-Ma
471,CNH Industrial,cnh_industrial,CNH Industrial N.V.,cnh_industrial
472,CNO Financial Group,towns_financial_group,CNO Financial Group Inc.,Connel Towns
473,CNOOC,cnoocintlcampus,Cnooc Limited,CNOOC Campus Team
474,CNP Assurances,cnp_assurances,CNP Assurances,CNP Assurances
475,Coal India,coalindia.in,Coal India Limited,Coal India Limited
476,Coca-Cola European Partners,ccepde_karriere,Coca-Cola European Partners PLC,Coca-Cola European Partners DE
477,Coca-Cola HBC,cocacolahbc_ru,COCA-COLA HELLENIC BOTTLING COMPANY S.A.,Coca-Cola HBC Россия
478,Cognizant,cognizant,Cognizant Technology Solutions Corporation,Verified
479,Coles Group,coles_group,Coles Group,Coles Group Estate Agents
480,Colgate-Palmolive,colgatepalmoliveco,Colgate-Palmolive Company,Verified
481,Coloplast,coloplast,Coloplast A/S,Coloplast Ltd
482,Colruyt,colruyt_be,COLRUYT,Verified
483,Xfinity,xfinity,Comcast Corporation,Verified
484,Comcast,comcast,Comcast Corporation,Verified
485,Comerica,comerica_bank,Comerica Incorporated,Comerica Bank
486,Commercial International Bank,cbiconnect,Commercial International Bank (Egypt) S.A.E.,Commercial Bank International
487,Commerzbank,commerzbank,Commerzbank AG,Verified
488,Commonwealth Bank,commbank_id,Commonwealth Bank of Australia,Verified
489,Cartier,cartier,Compagnie Financiere Richemont SA,Verified
490,Richemont,#richemont,Compagnie Financiere Richemont SA,"14,926 posts"
491,Cemig,cemiguzman,Companhia Energetica de Minas Gerais - CEMIG,Cemí Guzmán
492,Compass Group,compassgroupusa,Compass Group PLC,Compass Group USA
493,CONAGRA FOODS,conagrafoodservice,"ConAgra Foods, Inc.",Verified
494,Conair,conair,Conair,Verified
495,Concordia Financial Group,#concordiafinancialgroup,"Concordia Financial Group, Ltd.",4 posts
496,ConocoPhillips,conocophillips,ConocoPhillips,Verified
497,Consolidated Edison,#consolidatededison,"Consolidated Edison Company of New York, Inc.",113 posts
498,Constellation Brands,constellationbrands_mx,"Constellation Brands, Inc.",Constellation Brands México
499,Constellation Software,#constellationsoftware,Constellation Software Inc.,21 posts
500,Contemporary Amperex Technology,#contemporaryamperextechnology,Contemporary Amperex Technology Co Ltd,6 posts
501,Continental,continental_tire,CONTINENTAL AG,Verified
502,Cooper Companies,#coopercompanies,"Cooper Companies, Inc.",6 posts
503,Copart,copart1982,"Copart, Inc.",Verified
504,Core-Mark Holding,Not Verified,Core Mark,Not Verified
505,Corning,corningmuseum,Corning Incorporated,Corning Museum of Glass
506,Corona,corona,CORONA CORPORATION,Verified
507,Mapfre,mapfre,Corp. Mapfre 'R',Verified
508,Corteva,corteva,Corteva Agriscience,Verified
509,Cosco Shipping,cosco_shipping_official,"COSCO SHIPPING CO., LTD.",COSCO
510,Cosmo Energy Holdings,#cosmoenergyholdings,Cosmo Energy Holdings,1 post
511,CoStar Group,costarcareers,"CoStar Group, Inc.",CoStar Group Careers
512,Costco Wholesale,costco_aus,Costco Wholesale Corporation,Verified
513,Coty,clo34,Coty Inc.,"Coty ""C-Lo"" Losee"
514,Country Garden Holdings,#countrygardenholdings,COUNTRY GARDEN HOLDINGS CO. LTD.,12 posts
515,Covestro,covestro,Covestro,Covestro
516,Covivio,covivio,Covivio,Covivio
517,CP All,cpalliance,CP ALL PUBLIC COMPANY LIMITED,Cerebral Palsy Alliance
518,CPFL Energia,cpflenergia,CPFL Energia SA,CPFL Energia
519,Credicorp,credicorppanama,Credicorp Ltd.,Credicorp Bank Panamá
520,Credit Agricole,creditagricolepca,Credit Agricole SA,Verified
521,Crédit Mutuel,creditmutuel,Credit Mutuel,Verified
522,Credit Suisse Group,#creditsuissegroup,Credit Suisse Group,7 posts
523,Credito Emiliano,#creditoemiliano,CREDITO EMILIANO S.P.A. (CREDEM),13 posts
524,CRH,chrissyteigen,CRH PLC,Verified
525,CaixaBank,caixabank,Criteria CaixaCorp S.A.,Verified
526,Cronos Group,thecronosgroup,Cronos Group Inc,CronosGroup
527,Crown Castle International,#crowncastleinternational,Crown Castle International Corp.,3 posts
528,Crown Holdings,crownholdings,"Crown Holdings, Inc.",Crown Holdings Group
529,Csc Financial,cs_chia_0928,CSC Financial Co Ltd,CHIA CS | FINANCIAL ADVISER
530,CSL,californiahighwaypatrol,CSL Limited,Verified
531,CSX,officialcsx,CSX Corporation,CSX
532,CTBC Financial,ctbc.financial.park,CTBC Financial Holding Co Ltd,中國信託金融園區
533,ctrip.com,tripcom.sg,Ctrip.com International Ltd. (ADS),Verified
534,Cullen/Frost Bankers,Heat & Frost Insulators Local #37,"Cullen/Frost Bankers, Inc.","2360 N Cullen Ave, Evansville, IN"
535,Cummins,cummins,"Cummins, Inc.",Verified
536,CVS Health,cvshealth,CVS Caremark Corporation,Verified
537,D.R. Horton,drhorton,"D.R. Horton, Inc.",Verified
538,DGB Financial Group,#dgbfinancialgroup,Daegu Bank,4 posts
539,Dai Nippon Printing,design_dnp,DAI NIPPON PRINTING COMPANY LIMITED,Dai Nippon Printing - design
540,Dai-ichi Life Insurance,Not Verified,"Dai-ichi Life Holdings,Inc.",Not Verified
541,Daiichi Sankyo,daiichisankyo_us,Daiichi Sankyo Company Ltd,Daiichi Sankyo US
542,Daikin,daikinairconditioners,Daikin Industries Limited,Daikin Air Conditioners
543,Mercedes-Benz,mercedesbenz,Daimler AG,Verified
544,Daimler,daimler_ag,Daimler AG,Verified
545,Daishi Hokuetsu Financial Group,Not Found,Daishi Hokuetsu Financial Group Inc,Not Found
546,Daito Trust Construction,#daitotrustconstruction,Daito Trust Construction Company Limited,24 posts
547,Daiwa House Industry,#daiwahouseindustry,DAIWA HOUSE INDUSTRY COMPANY LIMITED,4 posts
548,Daiwa Securities,#daiwasecurities,DAIWA SECURITIES GROUP INCORPORATED,23 posts
549,Dali Foods Group,#dalifoodsgroup,Dali Foods Group Co Ltd,1 post
550,Dalian Wanda Commercial Properties,Not Found,"Dalian Wanda Commercial Properties Co., Ltd.",Not Found
551,Danaher,danahercorporation,Danaher Corp.,Danaher Corporation
552,Danske Bank,danskebankfi,Danske Bank A/S,Verified
553,Daqin Railway,#daqinrailway,Daqin Railway Co. Ltd.,1 post
554,Darden Restaurants,#dardenrestaurants,"Darden Restaurants, Inc.",590 posts
555,Dassault Aviation,dassaultaviation,DASSAULT AVIATION S.A.,Verified
556,Dassault Systemes,dassaultsystemes,Dassault Systemes,Verified
557,Datang International Power,King Power,Datang International Power Generation Co. Ltd.,"8 King Power Complex, Rangnam Road, Phayathai, Ratchathewi,"
558,DaVita,davita,"DaVita, Inc.",DaVita
559,Db Insurance,db_insurance,DB INSURANCE CO. LTD,DB손해보험팀장 김민식
560,DBS,Not Verified,DBS Group Holdings Limited,Not Verified
561,DCC,dccmakingtheteam,DCC PLC,Verified
562,DEAN FOODS,dean.sfoods,Dean Foods Company,Dean Foods
563,Deere & Company,singh_agro_company_john_deere,Deere & Company,SINGH AGRO COMPANY
564,Delek Group,deleks_group,Delek Group Ltd.,Deleks Technology
565,Delivery Hero,deliveryhero,Delivery Hero AG,Delivery Hero SE
566,Dell Technologies,delltech,Dell Technologies Inc,Verified
567,Deloitte,deloitte,Deloitte,Verified
568,Delta Air Lines,delta,"Delta AirLines, Inc.",Verified
569,Delta Electronics,delta.electronics.group,Delta Electronics Inc.,Delta Electronics (Official)
570,Denso,denso_official,Denso Corp.,DENSO CORPORATION
571,Dentsu,dentsuintl,DENTSU INCORPORATED,Verified
572,Deutsche Bank,deutschebank,Deutsche Bank AG,Verified
573,Deutsche Boerse,deutscheboersegroup,Deutsche Boerse AG,Deutsche Börse Group
574,Deutsche Lufthansa,deutschelufthansa,Deutsche Lufthansa AG,Deutsche Lufthansa
575,Deutsche Pfandbriefbank,#deutschepfandbriefbank,Deutsche Pfandbriefbank AG,16 posts
576,DHL,dhl_global,Deutsche Post AG,Verified
577,Deutsche Post,deutschepost,Deutsche Post AG,Verified
578,Deutsche Telekom,deutschetelekom,Deutsche Telekom AG,Verified
579,Deutsche Wohnen,deutsche_wohnen,Deutsche Wohnen,Deutsche Wohnen SE
580,DexCom,dexcom,"DexCom, Inc.",Verified
581,Diageo,diageo,Diageo,Verified
582,Diamondback Energy,#diamondbackenergy,"Diamondback Energy, Inc.",22 posts
583,DICK'S SPORTING GOODS,dickssportinggoods,"Dick's Sporting Goods, Inc.",Verified
584,Digital Realty Trust,#digitalrealtytrust,Digital Realty Trust Corporation,39 posts
585,DILLARD'S,dillards,"Dillard's, Inc.",Verified
586,Discover Financial Services,Discover Financial Services,Discover Financial Services LLC,"2500 S Lake Park Blvd, Salt Lake City, UT"
587,Discovery,discoveryplus,"Discovery Communications, Inc.",discovery+
588,DISH Network,dishnetwork,DISH Network Corporation,Verified
589,Dixons Carphone,dccareers,Dixons Carphone,Dixons Carphone Careers
590,DNB,dnbvibes,DNB Nor ASA,DnB Vibes
591,Subway,subway,Doctor's Associates Inc (Subway Restaurants),Verified
592,DocuSign,docusign,DocuSign Inc,Verified
593,Dole Food,dolesunshine,"Dole Food Co., Inc.",Verified
594,Dollar General,dollargeneral_finds,Dollar General Corporation,dollargeneral_finds
595,Dollar Tree,dollartree,"Dollar Tree Stores, Inc.",Verified
596,Dollarama,dollaramafindsca,Dollarama Inc,Dollarama finds 💚
597,Dominion Energy,dominionenergy,"Dominion Resources, Inc.",Verified
598,Domino's Pizza,dominos,Domino's Pizza LLC,Verified
599,Dongfeng Motor Group,dongfeng.motor.group,Dongfeng Motor Group (H),DONGFENG MOTOR GROUP
600,Doosan,doosanbears.1982,Doosan Corporation,Verified
601,Dover,doverstreetmarketnewyork,Dover Corporation,Verified
602,Dow,downtownholidaymarket,Dow Inc.,Downtown Holiday Market
603,DP World,dpworld,DP World Limited,Verified
604,Keurig,keurig,Dr Pepper Snapple Group,Verified
605,DSV Panalpina,#dsvpanalpina,DSV Panalpina A/S,348 posts
606,DTE Energy,dte_energy_official,DTE Energy Company,Verified
607,Dubai Islamic Bank,dubai_islamic_bank,Dubai Islamic Bank PJSC,Dubai Islamic Bank
608,Duke Energy,duke_energy,Duke Energy Corporation,Verified
609,Duke Realty,duke.realty,Duke Realty Corporation,Duke Realty
610,Dunkin',dunkin,Dunkin' Brands Group,Verified
611,DuPont de Nemours,pedsresidencynemoursde,DuPont de Nemours Inc.,DuPont Pediatrics Residency
612,DXC Technology,dxctechnology,DXC Technology Co.,DXC Technology
613,E-Trade Financial,etrade_financial,E*TRADE Financial Corp.,Verified
614,E.ON,e.on,E.ON AG,leon
615,E.Sun Financial,sunlifegrepa,E.Sun Financial Holding Co. Ltd.,Sun Life Grepa Financial
616,East Japan Railway,#eastjapanrailway,EAST JAPAN RAILWAY COMPANY LIMITED,"1,069 posts"
617,East Money Information,Not Verified,East Money Information Co Ltd,Not Verified
618,East West Bancorp,West Midland Safari Park,"East West Bancorp, Inc.","West Midland Safari Park, Spring Grove, Bewdley, Worcestershire, Bewdley, United Kingdom"
619,Eastman Chemical,#eastmanchemical,Eastman Chemical Company,222 posts
620,Eaton,eaton.dc,Eaton Corporation,Eaton DC
621,eBay,ebay,eBay Inc.,Verified
622,Ecolab,ecolab_inc,Ecolab Inc.,Ecolab
623,Ecopetrol,ecopetroloficial,Ecopetrol SA,Ecopetrol
624,EDF,edgarramirez25,EDF,Verified
625,Edison International,eia.almarkhiya,Edison International,Edison International Academy
626,Edwards Lifesciences,edwardscareers,Edwards Lifesciences Corporation,Edwards Lifesciences Careers
627,Eurobank Ergasias,#eurobankergasias,EFG Eurobank Ergasias SA,1 post
628,EFG International,#efginternational,EFG International AG,268 posts
629,Eiffage,eiffagegroupe,Eiffage,Verified
630,Eisai,eisai.india,Eisai Inc.,EISAI India
631,El Corte Inglés,elcorteingles,"El Corte Ingles, S.A.",Verified
632,E-L Financial,eldoradofinancial,E-L FINANCIAL CORPORATION LIMITED,El Dorado Financial
633,El Puerto de Liverpool,Liverpool,"EL PUERTO DE LIVERPOOL, S.A. DE C.V.","Mariano Escobedo 425, Chapultepec."
634,Electric Power Development,#electricpowerdevelopment,Electric Power Development Company Limit,3 posts
635,Electronic Arts,ea,Electronic Arts Inc.,Verified
636,Eli Lilly,elilillyco,Eli Lilly and Company,Eli Lilly and Company
637,Emaar Properties,emaarproperties,EMAAR PROPERTIES PJSC,Verified
638,E-mart,_bem20,"E-MART CO.,LTD",Verified
639,Emera,emeraldgordonwulf,Emera Inc,Verified
640,Emerson Electric,emersonelectricco,Emerson Electric Co.,Emerson Electric Co
641,Emirates,emirates,Emirates National Oil Company,Verified
642,Emirates NBD,emiratesnbd_ae,EMIRATES NBD PJSC,Verified
643,Etisalat,etisalat,Emirates Telecommunications Corporation,Verified
644,Empire,empire,Empire Bancorp Inc,Verified
645,EMS-Chemie Holding,Stockmeier Chemie Gmbh & Co Kg,EMS CHEMIE (North America) Inc.,"Eckendorfer Str. 10, Bielefeld (Bielefeld, Germany)"
646,Enbridge,enbridgegas,Enbridge Inc.,Enbridge Gas Inc.
647,Enel,Not Verified,Enel S.p.A.,Not Verified
648,Edp-energias De Portugal,EDP,Energias De Portugal,"Praça Marquês de Pombal 12, Lisbon, Portugal"
649,ENGIE,engie,ENGIE,Verified
650,Eni,eniola_badmus,ENI - ENTE NAZIONALE IDROCARBURI,Verified
651,ENN Energy Holdings,YOO,ENN Energy Holdings Limited,"2 Bentinck Street, London, United Kingdom"
652,Enstar Group,k_love_entertainment_g,Enstar Group Ltd.,Star group 😎
653,Entergy,entergy,Entergy Corporation,Entergy
654,Enterprise,enterprise,Enterprise Rent-A-Car Company,Verified
655,EOG Resources,#eogresources,"EOG Resources, Inc.",327 posts
656,Epiroc,epirocgroup,Epiroc AB,Epiroc
657,Equifax,lifeatequifax,Equifax Inc.,Life At Equifax
658,Equinix,equinix,"Equinix, Inc.","Equinix, Inc. (EQIX)"
659,Equinor,equinor,EQUINOR ASA,Verified
660,Equitable Holdings,equitableholdings,Equitable Holdings Inc,Reggie Sinclair
661,Equity Residential,equityres,Equity Residential,Equity Residential
662,Ericsson,ericsson_93,Ericsson,E. Lee III
663,Ernst & Young,ernstyoung,Ernst & Young,EY
664,Erste Group Bank,#erstegroupbank,Erste Group Bank AG,14 posts
665,ESPN,espn,ESPN,Verified
666,EssilorLuxottica,#essilorluxottica,EssilorLuxottica SA,451 posts
667,Essity Ab,ness_essity,Essity AB (publ),A n e s u | G o d W i t h U s
668,Esso,vvsnce,Esso Francaise SA,ESSO 😈
669,ESTEE LAUDER,esteelauder,Estee Lauder Inc.,Verified
670,Clinique,clinique,Clinique VI,Verified
671,Everest Re Group,everestgroupre,Everest RE Group Limited,Denver Real Estate Agent
672,Evergy,healingenergytools,Evergy Inc,HEALING ENERGY TOOLS
673,Eversource Energy,eversourceenergy,Eversource Energy,Verified
674,Evonik,evonikofficial,Evonik Industries AG,Verified
675,Exelon,exeloncareers,Exelon Corporation,Exelon Careers
676,EXOR,exorbitantmemes,EXOR S.p.A.,Exorbitant Memes
677,Expedia Group,lifeatexpediagroup,Expedia Inc,Life at Expedia Group
678,Expeditors International,#expeditorsinternational,"Expeditors International of Washington, Inc.",555 posts
679,Experian,experian,"Experian Group, Ltd",Verified
680,Express Scripts,expressscriptspharmacy,"Express Scripts, Inc.",Verified
681,Extra Space Storage,extraspace,Extra Space,Verified
682,ExxonMobil,exxonmobil,Exxon Mobil Corporation,Verified
683,F.N.B.,fnbsa,F.N.B. Corporation,Verified
684,Facebook,facebook,Facebook,Verified
685,Fairfax Financial,fairfaxfinancial,Fairfax Financial Holdings Limited,Fairfax Financial
686,Fannie Mae,officialfanniemae,Fannie Mae,Fannie Mae
687,Fanuc,fanucamerica,FANUC LTD,FANUC America
688,Far East Horizon,far_east_horizon_kiffy,FAR EAST HORIZON LIMITED,kiffy
689,Far Eastern New Century,"Far Eastern New Century ,neili Taiwan",Far Eastern Textile Ltd.,Jhongli City
690,UNIQLO,uniqlo,"Fast Retailing Co, Ltd",Verified
691,Fast Retailing,#fastretailing,"Fast Retailing Co, Ltd",911 posts
692,Fastenal,fastenal_company,Fastenal Company,Fastenal Company
693,Fastighets Balder,fastighets_ab_balder,Fastighets AB Balder,Verified
694,FedEx,fedex,FedEx Corporation,Verified
695,Ferguson,fergusonshowrooms,Ferguson PLC,Verified
696,Ferrari,ferrari,Ferrari SpA,Verified
697,Ferrovial,ferrovial,Ferrovial S.A.,Verified
698,Fiat Chrysler Automobiles,fca_group,Fiat Auto,Fiat Chrysler Automobiles
699,Fibra Uno,fibrauno,Fibra Uno Administracion SA de CV,Fibra Uno
700,Fidelity Investments,fidelity,Fidelity Investments,Verified
701,Fidelity National Financial,Fidelity National Financial,"Fidelity National Financial, Inc.",601 Riverside Ave
702,Fifth Third Bank,fifththirdbank,Fifth Third Bank,Verified
703,Financial Street Holdings,#financialstreetholdings,"FINANCIAL STREET HOLDINGS CO., LTD.",1 post
704,Financiere de l'Odet,Not Verified,Financiere de l'Odet SA,Not Verified
705,Finatis,shopfinatics,FINATIS S.A.,FINATICS
706,FinecoBank,finecobank,FinecoBank SpA,FinecoBank
707,First Abu Dhabi Bank,#firstabudhabibank,First Abu Dhabi Bank P.J.S.C.,637 posts
708,First American Financial,Not Verified,First American Financial Corp,Not Verified
709,First Citizens Bank,fcbankal,"First Citizens BancShares, Inc.",First Citizens Bank
710,First Financial Holding,First Financial Holding,First Financial Holding Co. Ltd.,"2725 Washington Blvd, Arlington, VA"
711,First Horizon National,Not Verified,First Horizon National Corporation,Not Verified
712,First Pacific,firstpacificgroupcares,FIRST PACIFIC CO. LTD.,First Pacific Group
713,First Republic Bank,firstrepublic,First Republic Bank,Verified
714,FirstEnergy,first_energy,FirstEnergy Corp.,First Energy
715,FirstRand,#firstrand,FirstRand Ltd.,413 posts
716,Fidelity National Information,Fidelity National Information,FIS,"105 Eisenhower Pkwy, Roseland, New Jersey"
717,Fiserv,fiserv,"Fiserv, Inc.",Fiserv
718,FleetCor Technologies,#fleetcortechnologies,"FleetCor Technologies, Inc.",2 posts
719,Flex,flexaforeal,FLEX FOODS LIMITED,Verified
720,Fluor,fluoreclean,Fluor Corporation,Fluoreclean
721,Technipfmc,technipfmc,"FMC Technologies, Inc.",TechnipFMC
722,Femsa,bienalfemsa,Fomento Economico Mexicano S.A.,Bienal FEMSA
723,Foot Locker,footlocker,"Foot Locker, Inc.",Verified
724,Ford Motor,ford,Ford Motor Company,Verified
