company,username,esg_company
Bawag Group,,BAWAG P.S.K.
Baxter International,,Baxter International Inc.
Bayer,,Bayer AG
BayWa,,BayWa
BBMG,,Bbmg Corp.
BCE,,BCE Inc
Becton Dickinson,,Becton Dickinson & Company
BED BATH & BEYOND,bedbathandbeyond,Bed Bath & Beyond
NIVEA,,Beiersdorf
Beiersdorf,,Beiersdorf
Beijing Capital Development,,"Beijing Capital Development,Co.,Ltd"
Beijing Enterprises,,Beijing Enterprises Holdings Ltd.
Beijing Shougang,,"Beijing Shougang Co., Ltd."
Bell,,Bell Aliant
Bendigo & Adelaide Bank,,Bendigo Bank Limited
Berkeley Group Holdings,,BERKELEY GROUP HOLDINGS PLC (THE)
BNSF,,Berkshire Hathaway Inc.
Berkshire Hathaway,,Berkshire Hathaway Inc.
Berry Global Group,,"Berry Plastics Group, Inc."
Best Buy,bestbuy,"Best Buy Co., Inc."
Bharat Petroleum,,Bharat Petroleum Corporation Limited
Bharti Airtel,,Bharti Airtel Limited
BHP Group,,BHP Billiton Limited
BHP,,BHP Group Plc
BIG LOTS,biglots,"Big Lots, Inc."
Biogen,,Biogen Idec
BioMarin Pharmaceutical,,BioMarin Pharmaceutical Inc.
Bio-Rad Laboratories,,"Bio-Rad Laboratories, Inc."
BJ's Wholesale Club,,"BJ's Wholesale Club, Inc."
BlackRock,,"BlackRock, Inc."
Bloomberg,,Bloomberg
BMO Harris Bank,,BMO Harris Bank
BMW Group,,BMW
BNP Paribas,,BNP Paribas
BOE Technology Group,,BOE Technology Group Co Ltd B HKD
PRICELINE GROUP,priceline,Booking Holdings
booking.com,,Booking Holdings
Booking Holdings,,Booking Holdings
Booz Allen Hamilton Holding,,Booz Allen Hamilton Holding Corporation
BorgWarner,,BorgWarner Inc.
Bosch,,Bosch Limited
Boston Consulting Group,,Boston Consulting Group
Boston Properties,,"Boston Properties, Inc."
Boston Scientific,,Boston Scientific Corporation
Bouygues,,Bouygues SA
BPER Banca,,BPER Banca S.p.A.
Brambles,,Brambles Industries PLC
Braskem,,BRASKEM S/A
Brenntag,,Brenntag AG
Bridgestone,,Bridgestone Corporation
Brighthouse Financial,,"BRIGHTHOUSE FINANCIAL, INC."
Brinker,,"Brinker International, Inc."
Bristol-Myers Squibb,bristolmyerssquibb,Bristol-Myers Squibb Company
Pall Mall,,British American Tobacco PLC
British American Tobacco,,British American Tobacco PLC
Sky,,British Sky Broadcasting Group PLC
Broadcom,,Broadcom Inc.
Broadridge Financial,,"Broadridge Financial Solutions, Inc."
Brookfield,,Brookfield Asset Management Inc.
Brookfield Asset Management,,Brookfield Asset Management Inc.
Brown & Brown,,Brown & Brown
Brown-Forman,,Brown-Forman Corporation
BNK Financial Group,,BS FINANCIAL GROUP INC
BT Group,,BT Group PLC
Budweiser,,Budweiser Brewing Company APAC Ltd
Bunge,,Bunge Ltd.
Bunzl,,Bunzl PLC
Burberry,,Burberry Group PLC
Bureau Veritas,,Bureau Veritas
Burger King,,Burger King Corporation
Burlington Stores,burlingtondeals,"BURLINGTON STORES, INC."
BYD,,BYD Company Limited
C.H. Robinson,,"C.H. Robinson Worldwide, Inc."
Cabot Oil & Gas,,Cabot Oil & Gas Corporation
Cadence Design,,"Cadence Design Systems, Inc."
Caesars Entertainment,,Caesars Entertainment Corp.
Caixa,,Caixa Economica Federal
Caltex Australia,,Caltex Australia Pty. Ltd.
Campbell Soup,campbellsoupco,Campbell Soup Company
Canada Life,,Canada Life Financial Corporation
Canadian Apartment Properties Real Estate Investment Trust,,Canadian Apartment Properties Real Estat
CIBC,,Canadian Imperial Bank of Commerce
Canadian Imperial Bank,,Canadian Imperial Bank of Commerce
Canadian National Railway,,Canadian National Railway Company
CNRL,,Canadian Natural Resources Limited
Canadian Natural Resources,,Canadian Natural Resources Limited
Canadian Pacific Railway,,Canadian Pacific Railway Limited
Canadian Tire,,"Canadian Tire Corporation, Limited"
Canara Bank,,Canara Bank Ltd.
Canon,,Canon Inc
Capgemini,,Cap Gemini
Capital One Financial,capitalone,Capital One Financial Corporation
CapitaLand,,Capitaland ILEC Pte Ltd
Cardinal Health,,"Cardinal Health, Inc."
Carhartt,,Carhartt Inc
Carlsberg,,Carlsberg A/S
CarMax,carmax,"CarMax, Inc."
Carnival,,Carnival Corporation & PLC
Carrefour,,Carrefour
Carrier Global,,Carrier Corporation
Caterpillar,caterpillarinc,Caterpillar Inc.
Cathay Financial,,Cathay Financial Holding Co. Ltd.
Cathay Pacific Airways,,Cathay Pacific Airways Limited
Cattolica Assicurazioni,,Cattolica Assicurazioni
CBRE Group,,"CB Richard Ellis Group, Inc."
CDW,,CDW Corporation
Metro,,Ceconomy AG
Metro Group,,Ceconomy AG
Ceconomy,,Ceconomy AG
Celanese,,CELANESE CORPORATION
Celltrion,,Celltrion Inc.
Cemex,,Cemex Sab De CV
Cenovus Energy,,Cenovus Energy Inc
Centene Corporation,,Centene Corporation
Centene,,Centene Corporation
Eletrobrás,,Centrais Eletricas Brasileira SA
Central Bank of India,,Central Bank of India
Central Japan Railway,,Central Japan Railway Co
Centrica,,Centrica plc
Cencosud,,"Centros Comerciales Sudamericanos, S.A."
Tokyo Century,,CENTURY LEASING SYSTEM
CenturyLink,centurylink,CenturyLink
Cerner,,Cerner Corporation
CEZ Group,,CEZ AS
CGI Group,,CGI Group Inc.
Chanel,,CHANEL SA
Chang Hwa Bank,,Chang Hwa Commercial Bank Ltd.
Changchun High & New Technology,,Changchun High & New Tech Industry Inc
Charles Schwab,charlesschwab,Charles Schwab Corp.
Charoen Pokphand Foods,,Charoen Pokphand Group
Charter Communications,,"Charter Communications, Inc."
Chase,,Chase Corp.
Check Point Software,,Check Point Software Technologies Ltd.
Cheniere Energy,,"Cheniere Energy, Inc."
Chesapeake Energy,,Chesapeake Energy Corporation
Chevron,chevron,Chevron Corp.
Chiba Bank,,Chiba Bank Limited
China Aoyuan Group,,China Aoyuan Group Limited
China Aviation Oil,,CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD
China Cinda Asset Management,,"CHINA CINDA ASSET MANAGEMENT CO., LTD"
China Citic Bank,,China CITIC Bank Corporation Limited
China Coal Energy,,China Coal Energy Company Limited
CCCC,,China Communications Construction Co. Ltd.
China Communications Construction,,China Communications Construction Co. Ltd.
China Construction Bank,,China Construction Bank Corporation
China Development Financial,,China Development Financial Holding Corp.
China Eastern Airlines,,China Eastern Airlines Corp. Ltd.
China Energy Engineering,,China Energy Engineering Corp Ltd
China Everbright International,,China Everbright International Ltd
China Evergrande Group,,China Evergrande Group
China Feihe,,China Feihe Ltd
CFLD,,China Fortune Land Development Co. Ltd.
China Galaxy Securities,,"China Galaxy Securities Co., Ltd."
China Gezhouba,,China Gezhouba Group Company Limited
China Grand Automotive Services,,China Grand Automotive Services Co Ltd
China Hongqiao Group,,China Hongqiao Group Ltd.
China Huarong Asset Management,,China Huarong Asset Management Co Ltd
China International Capital,,China International Capital Corp
China International Marine,,China International Marine Containers (Group) Co.Ltd.
China International Travel Service,,China International Travel Service Corporation Limited
China Jinmao,,China Jinmao Holdings
China Life Insurance,,CHINA LIFE INSURANCE CO. LTD.
China Life,,"China Life Insurance Co., Ltd."
Mengniu,,China Mengniu Dairy Company Limited
China Mengniu Dairy,,China Mengniu Dairy Company Limited
China Merchants Bank,,China Merchants Bank
China Merchants Port Holdings,,China Merchants Holdings International Co. Ltd.
China Merchants Securities,,"China Merchants Securities Co., Ltd."
China Merchants Shekou Industrial Zone Holdings,,China Merchants Shekou Ind Zn Hldg CoLtd
China Minsheng Bank,,"China Minsheng Banking Corp., Ltd."
China Mobile,,China Mobile Limited
China Molybdenum,,China Molybdenum Co. Ltd.
CNBM,,China National Building Material Company Limited
China National Building,,China National Building Material Company Limited
China National Chemical,,"China National Chemical Engineering Co., Ltd."
China National Nuclear Power,,China National Nuclear Power Co Ltd
Inner Mongolia Baotou Steel,,"China Northern Rare Earth (Group) High-Tech Co., Ltd. Class A"
China Nuclear Engineering Corporation,,China Nuclear Engineering Corporation Limited
China Pacific Insurance,,"China Pacific Insurance (Group) Co., Ltd."
Sinopec,,CHINA PETROLEUM & CHEMICAL CORPORATION
China Railway Construction,,China Railway Construction Corp. Limited
China Railway Group,,China Railway Group Ltd.
China Reinsurance Group,,China Reinsurance Group Corporation
China Resources Beer (Holdings),,China Resources Enterprise Ltd.
China Resources Gas Group,,China Resources Gas Group Ltd.
China Resources Land,,China Resources Land Ltd.
China Resources Pharmaceutical Group,,China Resources Pharmaceutical Group Ltd
China Resources Power,,China Resources Power Holdings Co. Ltd.
China SCE Group Holdings,,China SCE Property Holdings Limited
China Shenhua Energy,,China Shenhua Energy Company Limited
China Shipbuilding Industry,,China Shipbuilding Industry Co. Ltd.
CRRC,,China South Locomotive & Rolling Stock Corp. Ltd.
China Southern Airlines,,China Southern Airlines Co. Ltd.
China State Construction Engineering,,China State Construction Engineering Corporation Limited
China Steel,,China Steel Corp.
China Taiping Insurance,,CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED
China Telecom,,China Telecom USA Corporation
China Yangtze Power,,China Three Gorges Corp.
China Tower Corp.,,China Tower Corporation Limited
China Unicom,,China Unicom (Hong Kong) Ltd.
China Vanke,,China Vanke Co. Ltd.
China Zheshang Bank,,China Zheshang Bank Co Ltd
Chipotle Mexican Grill,,"Chipotle Mexican Grill, Inc."
Chongqing Zhifei Biological Products,,Chongqing Zhifei Biological Products Co Ltd
Chow Tai Fook Jewellery,,Chow Tai Fook Jewellery Group
Dior,,Christian Dior
Chubb,,Chubb Corporation
Chubu Electric Power,,Chubu Electric Power Company Inc
Chugoku Electric Power,,Chugoku Electric Power Company
Chunghwa Telecom,,Chunghwa Telecom
Church & Dwight,,"Church & Dwight Co., Inc."
CIFI Holdings Group,,CIFI Holdings (Group) Co. Ltd.
Cigna,cignatogether,CIGNA Corporation
CIMB Group Holdings,,CIMB Group Holdings Bhd
Cincinnati Financial,,Cincinnati Financial Corporation
Cintas,,Cintas Corporation
Cisco Systems,cisco,"Cisco Systems, Inc."
CIT Group,,CIT Group Inc.
CITIC,,CITIC Pacific Limited
Citic Securities,,Citic Securities Company
Citigroup,,Citigroup Inc.
Citizens Financial Group,,Citizens Financial Group Inc
Citrix Systems,,"Citrix Systems, Inc."
CJ Cheiljedang,,CJ CheilJedang Corp.
CJ Corporation,,CJ Corporation
CK Asset Holdings,,CK ASSET HOLDINGS LIMITED
CK Hutchison,,CK Hutchison Holdings Limited
Clal Insurance Enterprises,,CLAL IN.ENTS.HDG.LTD.
Clif Bar,,Clif Bar
CLP Holdings,,CLP Holdings Limited
CME Group,,CME Group Inc
CMS Energy,,CMS Energy Corporation
CNH Industrial,,CNH Industrial N.V.
CNO Financial Group,,CNO Financial Group Inc.
CNOOC,,Cnooc Limited
CNP Assurances,,CNP Assurances
Coal India,,Coal India Limited
Coca-Cola European Partners,,Coca-Cola European Partners PLC
Coca-Cola HBC,,COCA-COLA HELLENIC BOTTLING COMPANY S.A.
Cognizant,,Cognizant Technology Solutions Corporation
Coles Group,,Coles Group
Colgate-Palmolive,colgatepalmoliveco,Colgate-Palmolive Company
Coloplast,,Coloplast A/S
Colruyt,,COLRUYT
Xfinity,,Comcast Corporation
Comcast,comcast,Comcast Corporation
Comerica,,Comerica Incorporated
Commercial International Bank,,Commercial International Bank (Egypt) S.A.E.
Commerzbank,,Commerzbank AG
Commonwealth Bank,,Commonwealth Bank of Australia
Cartier,,Compagnie Financiere Richemont SA
Richemont,,Compagnie Financiere Richemont SA
Cemig,,Companhia Energetica de Minas Gerais - CEMIG
Compass Group,,Compass Group PLC
CONAGRA FOODS,conagrafoodservice,"ConAgra Foods, Inc."
Conair,,Conair
Concordia Financial Group,,"Concordia Financial Group, Ltd."
ConocoPhillips,conocophillips,ConocoPhillips
Consolidated Edison,,"Consolidated Edison Company of New York, Inc."
Constellation Brands,,"Constellation Brands, Inc."
Constellation Software,,Constellation Software Inc.
Contemporary Amperex Technology,,Contemporary Amperex Technology Co Ltd
Continental,,CONTINENTAL AG
Cooper Companies,,"Cooper Companies, Inc."
Copart,,"Copart, Inc."
Core-Mark Holding,,Core Mark
Corning,,Corning Incorporated
Corona,,CORONA CORPORATION
Mapfre,,Corp. Mapfre 'R'
Corteva,,Corteva Agriscience
Cosco Shipping,,"COSCO SHIPPING CO., LTD."
Cosmo Energy Holdings,,Cosmo Energy Holdings
CoStar Group,,"CoStar Group, Inc."
Costco Wholesale,costco,Costco Wholesale Corporation
Coty,,Coty Inc.
Country Garden Holdings,,COUNTRY GARDEN HOLDINGS CO. LTD.
Covestro,,Covestro
Covivio,,Covivio
CP All,,CP ALL PUBLIC COMPANY LIMITED
CPFL Energia,,CPFL Energia SA
Credicorp,,Credicorp Ltd.
Credit Agricole,,Credit Agricole SA
Crédit Mutuel,,Credit Mutuel
Credit Suisse Group,,Credit Suisse Group
Credito Emiliano,,CREDITO EMILIANO S.P.A. (CREDEM)
CRH,,CRH PLC
CaixaBank,,Criteria CaixaCorp S.A.
Cronos Group,,Cronos Group Inc
Crown Castle International,,Crown Castle International Corp.
Crown Holdings,,"Crown Holdings, Inc."
Csc Financial,,CSC Financial Co Ltd
CSL,,CSL Limited
CSX,,CSX Corporation
CTBC Financial,,CTBC Financial Holding Co Ltd
ctrip.com,,Ctrip.com International Ltd. (ADS)
Cullen/Frost Bankers,,"Cullen/Frost Bankers, Inc."
Cummins,cummins,"Cummins, Inc."
CVS Health,cvspharmacy,CVS Caremark Corporation
D.R. Horton,drhorton,"D.R. Horton, Inc."
DGB Financial Group,,Daegu Bank
Dai Nippon Printing,,DAI NIPPON PRINTING COMPANY LIMITED
Dai-ichi Life Insurance,,"Dai-ichi Life Holdings,Inc."
Daiichi Sankyo,,Daiichi Sankyo Company Ltd
Daikin,,Daikin Industries Limited
Mercedes-Benz,,Daimler AG
Daimler,,Daimler AG
Daishi Hokuetsu Financial Group,,Daishi Hokuetsu Financial Group Inc
Daito Trust Construction,,Daito Trust Construction Company Limited
Daiwa House Industry,,DAIWA HOUSE INDUSTRY COMPANY LIMITED
Daiwa Securities,,DAIWA SECURITIES GROUP INCORPORATED
Dali Foods Group,,Dali Foods Group Co Ltd
Dalian Wanda Commercial Properties,,"Dalian Wanda Commercial Properties Co., Ltd."
Danaher,,Danaher Corp.
Danske Bank,,Danske Bank A/S
Daqin Railway,,Daqin Railway Co. Ltd.
Darden Restaurants,,"Darden Restaurants, Inc."
Dassault Aviation,,DASSAULT AVIATION S.A.
Dassault Systemes,,Dassault Systemes
Datang International Power,,Datang International Power Generation Co. Ltd.
DaVita,,"DaVita, Inc."
Db Insurance,,DB INSURANCE CO. LTD
DBS,,DBS Group Holdings Limited
DCC,,DCC PLC
DEAN FOODS,,Dean Foods Company
Deere & Company,johndeere,Deere & Company
Delek Group,,Delek Group Ltd.
Delivery Hero,,Delivery Hero AG
Dell Technologies,dell,Dell Technologies Inc
Deloitte,,Deloitte
Delta Air Lines,delta,"Delta AirLines, Inc."
Delta Electronics,,Delta Electronics Inc.
Denso,,Denso Corp.
Dentsu,,DENTSU INCORPORATED
Deutsche Bank,,Deutsche Bank AG
Deutsche Boerse,,Deutsche Boerse AG
Deutsche Lufthansa,,Deutsche Lufthansa AG
Deutsche Pfandbriefbank,,Deutsche Pfandbriefbank AG
DHL,,Deutsche Post AG
Deutsche Post,,Deutsche Post AG
Deutsche Telekom,,Deutsche Telekom AG
Deutsche Wohnen,,Deutsche Wohnen
DexCom,,"DexCom, Inc."
Diageo,,Diageo
Diamondback Energy,,"Diamondback Energy, Inc."
DICK'S SPORTING GOODS,dickssportinggoods,"Dick's Sporting Goods, Inc."
Digital Realty Trust,,Digital Realty Trust Corporation
DILLARD'S,dillards,"Dillard's, Inc."
Discover Financial Services,,Discover Financial Services LLC
Discovery,discovery,"Discovery Communications, Inc."
DISH Network,dishnetwork,DISH Network Corporation
Dixons Carphone,,Dixons Carphone
DNB,,DNB Nor ASA
Subway,,Doctor's Associates Inc (Subway Restaurants)
DocuSign,,DocuSign Inc
Dole Food,,"Dole Food Co., Inc."
Dollar General,dollargeneral,Dollar General Corporation
Dollar Tree,dollartree,"Dollar Tree Stores, Inc."
Dollarama,,Dollarama Inc
Dominion Energy,,"Dominion Resources, Inc."
Domino's Pizza,,Domino's Pizza LLC
Dongfeng Motor Group,,Dongfeng Motor Group (H)
Doosan,,Doosan Corporation
Dover,,Dover Corporation
Dow,,Dow Inc.
DP World,,DP World Limited
Keurig,,Dr Pepper Snapple Group
DSV Panalpina,,DSV Panalpina A/S
DTE Energy,dte_energy_official,DTE Energy Company
Dubai Islamic Bank,,Dubai Islamic Bank PJSC
Duke Energy,duke_energy,Duke Energy Corporation
Duke Realty,,Duke Realty Corporation
Dunkin',,Dunkin' Brands Group
DuPont de Nemours,,DuPont de Nemours Inc.
DXC Technology,,DXC Technology Co.
E-Trade Financial,,E*TRADE Financial Corp.
E.ON,,E.ON AG
E.Sun Financial,,E.Sun Financial Holding Co. Ltd.
East Japan Railway,,EAST JAPAN RAILWAY COMPANY LIMITED
East Money Information,,East Money Information Co Ltd
East West Bancorp,,"East West Bancorp, Inc."
Eastman Chemical,,Eastman Chemical Company
Eaton,,Eaton Corporation
eBay,ebay,eBay Inc.
Ecolab,,Ecolab Inc.
Ecopetrol,,Ecopetrol SA
EDF,,EDF
Edison International,,Edison International
Edwards Lifesciences,,Edwards Lifesciences Corporation
Eurobank Ergasias,,EFG Eurobank Ergasias SA
EFG International,,EFG International AG
Eiffage,,Eiffage
Eisai,,Eisai Inc.
El Corte Inglés,,"El Corte Ingles, S.A."
E-L Financial,,E-L FINANCIAL CORPORATION LIMITED
El Puerto de Liverpool,,"EL PUERTO DE LIVERPOOL, S.A. DE C.V."
